Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Campylobacter,"Dogs and Cats, Human",None,"Bloody, mucous diarrhea (occasionally watery diarrhea), fever, poor appetite, vomiting",Not Known,"Exposure to infected animals, contaminated food, water, or raw milk","Microscopic examination, fecal culture","Consumption of contaminated food, water, or raw milk","Supportive care, appropriate antibiotics (e.g., erythromycin, chloramphenicol, tylosin)",Not Known,Not Known,Not Known,"Discuss prevention with veterinarian, screening therapy pets in assisted living communities for Campylobacter before exposure",Not Known,
Cancer,Dogs and Cats,Not Known,"Lumps and bumps that don’t go away, wounds that don’t heal, limping or other signs of pain, unexplained weight loss, less energy, difficulty breathing, bleeding, bad odors, abnormal discharge, behavior changes, changes in urinary and bowel habits",Not Known,"Aging, genetics","Physical examination, imaging tests, biopsy","Development of abnormal cells that multiply and crowd out healthy cells, forming tumors and disrupting normal body functions",Symptomatic care,Chemotherapy,Surgery,Not Known,Regular veterinary check-ups,Depends on cancer type,
Canine Heartworms,Dogs,Not Known,"Lethargy, exercise intolerance, coughing, difficulty breathing, weight loss, collapse",Not Known,"Exposure to mosquito vectors carrying heartworm larvae, presence of wild canine populations, regional climate and ecosystems, travel or relocation to infected areas, climate change","Blood tests, antigen tests",Parasitic infection by Dirofilaria immitis transmitted through mosquito bites,Symptomatic and supportive,"Anthelmintic drugs (e.g., melarsomine), antibiotics, corticosteroids",Surgery (for severe cases),Not Known,"Year-round administration of FDA-approved heartworm preventatives, avoiding mosquito-heavy areas, eliminating standing water, lawn alteration, porch nets, other mosquito barriers, regular veterinary check-ups, blood tests for heartworms yearly for all Dogs over seven months",Depends on disease stage and severity,
Cataracts in Diabetic Dogs,Dogs,Not Known,"Cloudy or opaque appearance in the eye, vision loss",Not Known,"Diabetes mellitus, poorly-regulated diabetes, excess glucose in the eye fluids","Visual inspection, ERG (electroretinogram) test","Excess glucose in the eye fluids due to diabetes mellitus leads to sorbitol production, causing water absorption in the lens and cataract formation.",Diabetes management,"Aldose reductase inhibitors (e.g., Kinostat), topical corticosteroids","Lens extraction, phacoemulsification with artificial lens placement",Not Known,"Well-regulated diabetes, early use of aldose reductase inhibitors, regular veterinary check-ups","Depends on eye health, diabetes control, and presence of complications",
Cataracts in Dogs/Cats,Dogs and Cats,Glaucoma,"Cloudy appearance in the eye, vision loss, potential complications like glaucoma",Not Known,"Age, genetics, diabetes mellitus, trauma, dietary deficiency, electric shock, toxins",Visual inspection,"Age-related changes, genetics, diabetes mellitus, trauma, dietary deficiency, toxins","Observation, management of associated conditions",Eye drops to reduce inflammation,"Surgical removal, phacoemulsification, artificial lens placement",Not Known,"Regular veterinary check-ups, management of underlying conditions","Depends on eye health, presence of complications, and response to treatment",
Cauda Equina Syndrome,Dog,None,"Hind end stiffness, difficulty in walking, climbing stairs, getting on furniture, wagging the tail, positioning to defecate, getting into a car, weakness in one or Dogs and Cats back legs, pain, urinary and fecal incontinence","German shepherd Dogs and other large, active breeds, smaller breeds, and even in cats","Arthritic degeneration, intervertebral disc herniation, traumatic injury, congenital malformation, tumor growth","Physical and neurologic examination, x-rays, CT scans, MRI, electromyography, myelogram","Arthritic degeneration, intervertebral disc herniation, traumatic injury, congenital malformation, tumor growth, narrowing of the foramina by new bone growth, spurs, or overgrown soft tissue","Supportive treatment including crate rest, controlled exercise on lead, anti-inflammatory and pain-relieving medications",Corticosteroid injection,"Dorsal laminectomy, adjacent unstable spinal vertebrae fusion, widening of the foramina in severe cases",Not Known,Not Known,"Dogs with mild signs have a good prognosis with medical treatment, severely affected Dogs may have a poor prognosis especially if urinary or fecal incontinence has resulted, surgery or cortisone injection can relieve pain and improve quality of life",
Causes of Blindness in Dogs and Cats,Dogs and Cats,None,"Disorientation, bumping into objects, struggling to find food and toys",Not Known,"Uveitis: Infections (e.g., FIP, tick-borne ehrlichiosis), tumors, immune-mediated conditions, eye trauma, toxins, eye irritants; Cataracts: Genetics, diabetes, eye trauma, toxins, nutritional deficiencies, radiation, electric shock, age-related degeneration; Glaucoma: Genetics, uveitis, eye tumors, anterior lens luxation; Retinal detachment: Genetics, trauma, tumors, infections, immune-mediated conditions, uveitis, eye surgery, high blood pressure; Progressive retinal atrophy (PRA): Inherited disease; Sudden acquired retinal degeneration syndrome (SARDS): Unknown cause; Optic neuritis: Infections (e.g., distemper in Dogs, cryptococcosis in cats), inflammation, immune-mediated conditions, toxins (e.g., rodenticides), eye trauma, tumors; Lens luxation: Primary inherited luxations (Terrier breeds), cataracts, glaucoma, trauma, tumors, uveitis; Corneal diseases such as keratoconjunctivitis sicca, pigmentary keratitis, and pannus","Physical examination, observation of symptoms",Not Known,Not Known,Not Known,"Regular veterinary check-ups, prompt treatment of underlying conditions, avoiding trauma to the eyes","Varies depending on the underlying cause; some conditions may have a better prognosis with early detection and treatment, while others may lead to irreversible blindness",Not Known,Not Known,
Cellulitis,Dogs and Cats,None,"Sensitivity and pain, skin that feels hot to the touch, redness, abscess, accumulated pus or green discharge, swelling, obsessive licking of the area, fever, refusal to eat, lethargy, depression, unpleasant odor",Not Known,"Open wounds, cuts, broken skin from animal bites","Physical examination, blood tests, cultures, lab tests on abscess fluid","Bacterial infection, commonly caused by Staphylococcus and Streptococcus bacteria, entering the skin from wounds, cuts, or broken skin from animal bites","Examination for wounds or abscesses, blood tests, cultures, opening and draining of abscesses, cleaning, possibly under anesthesia or sedation, placement of drains, stitches, antibiotics, pain medication, anti-inflammatories, warm compresses, protective e-collar",Antibiotics,"Opening and draining of abscesses, placement of drains, stitches",Not Known,"Proper wound care, hygiene practices (washing hands before and after treating the pet, wearing gloves if possible), finishing prescription medications as directed",Positive outcome expected with proper and timely care in minor cases,
Cerebrospinal Cuterebriasis,Dogs and Cats,Neurological abnormalities,"Neurological abnormalities, ischemic encephalopathy.",Not Known,"Outdoor exposure, proximity to burrows",Neurological examination,Infestation by Cuterebra larvae,"Removal of larvae by veterinarian, supportive care for neurological symptoms.",Supportive care,"Removal of larvae by veterinarian, supportive care for neurological symptoms",Not Known,"Avoiding areas with burrows, prompt removal of eggs/larvae",Prognosis depends on severity of neurological symptoms and prompt treatment.,
Cervical (Neck) Disk Disease,Dogs and Cats,None,"Mild to severe signs including neck pain, neck muscle tension or shivering, nose pointing toward the ground, arched back, muscle tremors, reluctance to move head, nerve control issues in urinary and bowel functions, clumsiness, paralysis","Small chondrodystrophic breeds (e.g., dachshunds), other breeds","Trauma (falling off furniture or a deck, getting hit by a car, collar trauma, etc.), disk herniation, chronic disk disease","Medical history, physical examination, neurological examination, radiographs, myelogram, MRI, CT scan","Disk herniation pressing on the spinal cord, trauma","Mild cases: medication (anti-inflammatories, glucocorticoids), crate rest; Serious cases: surgery, strict crate rest","Anti-inflammatories, glucocorticoids",Surgery to remove extruded disk material,Not Known,"Strict crate rest, avoidance of heavy exercise, avoidance of neck collars or choke collars for three months after surgery","Depends on the severity of the condition; Excellent prognosis if walking before surgery, good to excellent prognosis if deep pain sensation present before surgery, guarded prognosis if deep pain sensation completely lost before surgery",
Chagas Disease in Dogs,Dog,None,"Mild to severe signs including lethargy, weakness, collapse, labored breathing, fever, loss of appetite, signs of heart disease, systemic disease symptoms",Not Known,"Living or spending time in areas where Chagas disease is common, outdoor activities, exposure to kissing bugs, previous infections, living near infected animals","Medical history, physical examination, blood tests, X-rays, ultrasound, molecular tests, microscopic examination","Infection by Trypanosoma cruzi parasite, spread by kissing bugs","Medication during acute phase, heart medications, prescription diets, changes in exercise level","Drugs to fight parasite infection, managing symptoms of heart disease",Not commonly used,Not Known,"Avoid contact with infected animals, pyrethrin/permethrin insecticides, screening for Chagas before breeding female Dogs","Prognosis varies depending on the stage of infection and response to treatment, early detection improves prognosis",
